Time,П1В1_AIRNED_M6L_BASE_REC:DesPer 1:Des Heat Mass Flow [kg/s],П1В1_AIRNED_M6L_BASE_REC:DesPer 1:Des Heat Cap [W],П1В1_AIRNED_M6L_BASE_REC:DesPer 1:Des Cool Mass Flow [kg/s],П1В1_AIRNED_M6L_BASE_REC:DesPer 1:Des Sens Cool Cap [W],П1В1_AIRNED_M6L_BASE_REC:DesPer 1:Des Tot Cool Cap [W],П1В1_AIRNED_M6L_BASE_REC:DesPer 2:Des Heat Mass Flow [kg/s],П1В1_AIRNED_M6L_BASE_REC:DesPer 2:Des Heat Cap [W],П1В1_AIRNED_M6L_BASE_REC:DesPer 2:Des Cool Mass Flow [kg/s],П1В1_AIRNED_M6L_BASE_REC:DesPer 2:Des Sens Cool Cap [W],П1В1_AIRNED_M6L_BASE_REC:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,2.382490E+03,1.350981E+00,2.911933E+03,1.016512E+04
00:20:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,2.497882E+03,1.350981E+00,2.796542E+03,9.846096E+03
00:30:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,2.613273E+03,1.350981E+00,2.681150E+03,9.528099E+03
00:40:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,2.728664E+03,1.350981E+00,2.565759E+03,9.211127E+03
00:50:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,2.844056E+03,1.350981E+00,2.450368E+03,8.895174E+03
01:00:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,2.959447E+03,1.350981E+00,2.334976E+03,8.580238E+03
01:10:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.036374E+03,1.350981E+00,2.258049E+03,8.370841E+03
01:20:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.113302E+03,1.350981E+00,2.181121E+03,8.161892E+03
01:30:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.190229E+03,1.350981E+00,2.104194E+03,7.953391E+03
01:40:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.267157E+03,1.350981E+00,2.027266E+03,7.745334E+03
01:50:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.344084E+03,1.350981E+00,1.950339E+03,7.537720E+03
02:00:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.421012E+03,1.350981E+00,1.873411E+03,7.330550E+03
02:10:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.478708E+03,1.350981E+00,1.815716E+03,7.175461E+03
02:20:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.536403E+03,1.350981E+00,1.758020E+03,7.020620E+03
02:30:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.594099E+03,1.350981E+00,1.700324E+03,6.866026E+03
02:40:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.651795E+03,1.350981E+00,1.642629E+03,6.711678E+03
02:50:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.709490E+03,1.350981E+00,1.584933E+03,6.557576E+03
03:00:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.767186E+03,1.350981E+00,1.527237E+03,6.403720E+03
03:10:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.824881E+03,1.350981E+00,1.469542E+03,6.250108E+03
03:20:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.882577E+03,1.350981E+00,1.411846E+03,6.096740E+03
03:30:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.940273E+03,1.350981E+00,1.354151E+03,5.943616E+03
03:40:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.997968E+03,1.350981E+00,1.296455E+03,5.790735E+03
03:50:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,4.055664E+03,1.350981E+00,1.238759E+03,5.638096E+03
04:00:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,4.113360E+03,1.350981E+00,1.181064E+03,5.485700E+03
04:10:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,4.151823E+03,1.350981E+00,1.142600E+03,5.384236E+03
04:20:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,4.190287E+03,1.350981E+00,1.104136E+03,5.282880E+03
04:30:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,4.228751E+03,1.350981E+00,1.065672E+03,5.181630E+03
04:40:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,4.267215E+03,1.350981E+00,1.027209E+03,5.080487E+03
04:50:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,4.305678E+03,1.350981E+00,9.887449E+02,4.979451E+03
05:00:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,4.344142E+03,1.350981E+00,9.502811E+02,4.878522E+03
05:10:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,4.305678E+03,1.350981E+00,9.887449E+02,4.979451E+03
05:20:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,4.267215E+03,1.350981E+00,1.027209E+03,5.080487E+03
05:30:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,4.228751E+03,1.350981E+00,1.065672E+03,5.181630E+03
05:40:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,4.190287E+03,1.350981E+00,1.104136E+03,5.282880E+03
05:50:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,4.151823E+03,1.350981E+00,1.142600E+03,5.384236E+03
06:00:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,4.113360E+03,1.350981E+00,1.181064E+03,5.485700E+03
06:10:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.978736E+03,1.350981E+00,1.315687E+03,5.841669E+03
06:20:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.844113E+03,1.350981E+00,1.450310E+03,6.198958E+03
06:30:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.709490E+03,1.350981E+00,1.584933E+03,6.557576E+03
06:40:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.574867E+03,1.350981E+00,1.719556E+03,6.917530E+03
06:50:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.440244E+03,1.350981E+00,1.854179E+03,7.278826E+03
07:00:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,3.305621E+03,1.350981E+00,1.988803E+03,7.641472E+03
07:10:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,2.978679E+03,1.350981E+00,2.315745E+03,8.527846E+03
07:20:00,1.350981E+00,5.525206E+04,1.350981E+00,0.000000E+00,0.000000E+00,1.350981E+00,2.651737E+03,1.350981E+00,2.642686E+03,9.422328E+03
