Time,П1В1_AIRNED_M6L_DCV_HP:DesPer 1:Des Heat Mass Flow [kg/s],П1В1_AIRNED_M6L_DCV_HP:DesPer 1:Des Heat Cap [W],П1В1_AIRNED_M6L_DCV_HP:DesPer 1:Des Cool Mass Flow [kg/s],П1В1_AIRNED_M6L_DCV_HP:DesPer 1:Des Sens Cool Cap [W],П1В1_AIRNED_M6L_DCV_HP:DesPer 1:Des Tot Cool Cap [W],П1В1_AIRNED_M6L_DCV_HP:DesPer 2:Des Heat Mass Flow [kg/s],П1В1_AIRNED_M6L_DCV_HP:DesPer 2:Des Heat Cap [W],П1В1_AIRNED_M6L_DCV_HP:DesPer 2:Des Cool Mass Flow [kg/s],П1В1_AIRNED_M6L_DCV_HP:DesPer 2:Des Sens Cool Cap [W],П1В1_AIRNED_M6L_DCV_HP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,2.381537E+03,1.350440E+00,2.910768E+03,1.016106E+04
00:20:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,2.496883E+03,1.350440E+00,2.795423E+03,9.842158E+03
00:30:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,2.612228E+03,1.350440E+00,2.680078E+03,9.524288E+03
00:40:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,2.727573E+03,1.350440E+00,2.564733E+03,9.207442E+03
00:50:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,2.842918E+03,1.350440E+00,2.449388E+03,8.891616E+03
01:00:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,2.958263E+03,1.350440E+00,2.334042E+03,8.576806E+03
01:10:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.035160E+03,1.350440E+00,2.257146E+03,8.367493E+03
01:20:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.112057E+03,1.350440E+00,2.180249E+03,8.158627E+03
01:30:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.188953E+03,1.350440E+00,2.103352E+03,7.950210E+03
01:40:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.265850E+03,1.350440E+00,2.026455E+03,7.742235E+03
01:50:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.342747E+03,1.350440E+00,1.949559E+03,7.534705E+03
02:00:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.419644E+03,1.350440E+00,1.872662E+03,7.327618E+03
02:10:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.477316E+03,1.350440E+00,1.814989E+03,7.172591E+03
02:20:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.534989E+03,1.350440E+00,1.757317E+03,7.017812E+03
02:30:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.592661E+03,1.350440E+00,1.699644E+03,6.863280E+03
02:40:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.650334E+03,1.350440E+00,1.641972E+03,6.708994E+03
02:50:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.708006E+03,1.350440E+00,1.584299E+03,6.554953E+03
03:00:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.765679E+03,1.350440E+00,1.526627E+03,6.401158E+03
03:10:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.823351E+03,1.350440E+00,1.468954E+03,6.247608E+03
03:20:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.881024E+03,1.350440E+00,1.411281E+03,6.094301E+03
03:30:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.938697E+03,1.350440E+00,1.353609E+03,5.941238E+03
03:40:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,3.996369E+03,1.350440E+00,1.295936E+03,5.788419E+03
03:50:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,4.054042E+03,1.350440E+00,1.238264E+03,5.635841E+03
04:00:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,4.111714E+03,1.350440E+00,1.180591E+03,5.483505E+03
04:10:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,4.150163E+03,1.350440E+00,1.142143E+03,5.382083E+03
04:20:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,4.188611E+03,1.350440E+00,1.103694E+03,5.280767E+03
04:30:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,4.227059E+03,1.350440E+00,1.065246E+03,5.179557E+03
04:40:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,4.265508E+03,1.350440E+00,1.026798E+03,5.078455E+03
04:50:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,4.303956E+03,1.350440E+00,9.883494E+02,4.977460E+03
05:00:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,4.342405E+03,1.350440E+00,9.499010E+02,4.876571E+03
05:10:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,4.303956E+03,1.350440E+00,9.883494E+02,4.977460E+03
05:20:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,4.265508E+03,1.350440E+00,1.026798E+03,5.078455E+03
05:30:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,4.227059E+03,1.350440E+00,1.065246E+03,5.179557E+03
05:40:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,4.188611E+03,1.350440E+00,1.103694E+03,5.280767E+03
05:50:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,4.150163E+03,1.350440E+00,1.142143E+03,5.382083E+03
06:00:00,1.350440E+00,5.522996E+04,1.350440E+00,0.000000E+00,0.000000E+00,1.350440E+00,4.111714E+03,1.350440E+00,1.180591E+03,5.483505E+03
